,day,ferry_AB_users,speedboat_AB_users,ferry_BA_users,speedboat_BA_users,ferry_AB_density,speedboat_AB_density,ferry_BA_density,speedboat_BA_density,ferry_AB_time,speedboat_AB_time,ferry_BA_time,speedboat_BA_time
0,0,200,0,0,0,10.0,1,0.0,1,4,1,1,1
1,1,0,0,200,0,0.0,1,10.0,1,1,1,4,1
2,2,0,200,0,0,0.0,1,0.0,1,1,10,1,1
3,3,0,0,0,200,0.0,1,0.0,1,1,1,1,10
4,4,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
5,5,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
6,6,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
7,7,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
8,8,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
9,9,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
10,10,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
11,11,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
12,12,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
13,13,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
14,14,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
15,15,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
16,16,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
17,17,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
18,18,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
19,19,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
20,20,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
21,21,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
22,22,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
23,23,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
24,24,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
25,25,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
26,26,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
27,27,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
28,28,36,164,0,0,1.7999999999999998,1,0.0,1,1,6,1,1
29,29,0,0,36,164,0.0,1,1.7999999999999998,1,1,1,1,6
